Title,Author,Author Introduction,Category,Day,Estimated Time,Status
Notes on Complexity: A Buddhist Scientist on the Murmuration of Being,Maria Popova,Creator of Brain Pickings a blog exploring creativity and literature,🤹 Become a versatile generalist,Day 6,8 min,Done
How Description Leads to Understanding,Farnam Street,Knowledge blog for enhancing decision-making & understanding complex systems,🧠 Improve Self-awareness,Day 9,6 min,In progress
Earnestness,Pual Graham,Entrepreneur and writer co-founder of Y Combinator,📈 Gain business insights,Day 14,7 min,Not started
Metabrand,Benedict Evans,Tech industry analyst and venture capitalist,📈 Gain business insights,Day 21,3 min,Not started
Love the problem,Julie Zhuo,"Former Product Design VP at Facebook & author of ""The Making of a Manager""",📈 Gain business insights,Day 17,7 min,Not started
The Underrated Usefulness of Taking a Time Log,Scott Young,Learning expert mastering efficient learning technique,🔧 Increase productivity,Day 15,3 min,Not started
"You can have two Big Things, but not three",Jason Cohen,Founder of WP Engine and a renowned entrepreneur in the tech space,🧠 Improve Self-awareness,Day 19,3 min,Not started
One Big Web: A Few Ways the World Works,Morgan Housel,"Financial writer author of ""The Psychology of Money""",🤹 Become a versatile generalist,Day 1,8 min,Done
How Innovative Ideas Arise,James Clear,"Expert on habits author of ""Atomic Habits"" personal growth",🖌️ Boost creativity,Day 4,5 min,Done
Pricing determines your business model,Jason Cohen,Founder of WP Engine and a renowned entrepreneur in the tech space,📈 Gain business insights,Day 12,8 min,Not started
When you want to quit because it's just not worth it,Jason Cohen,Founder of WP Engine and a renowned entrepreneur in the tech space,🧠 Improve Self-awareness,Day 16,8 min,Not started
How repositioning a product allows you to 8x its price,Jason Cohen,Founder of WP Engine and a renowned entrepreneur in the tech space,💰 Create wealth,Day 18,3 min,Not started
There’s no such thing as data,Benedict Evans,Tech industry analyst and venture capitalist,🤖️ Understand tech trend,Day 10,8 min,Not started
What AI Won’t Change,Julie Zhuo,"Former Product Design VP at Facebook & author of ""The Making of a Manager""",🗣  Win at work,Day 11,8 min,Not started
"The Blind Men, the Elephant, and the 3 Data Mistakes",Julie Zhuo,"Former Product Design VP at Facebook & author of ""The Making of a Manager""",📈 Gain business insights,Day 2,6 min,Done
Fear of What Others Think,Julie Zhuo,"Former Product Design VP at Facebook & author of ""The Making of a Manager""",🧠 Improve Self-awareness,Day 13,8 min,Not started
The eternal Google search for truth,Tim Harford,Leadership coach empowering individuals and teams,🧠 Improve Self-awareness,Day 20,5 min,Not started
"Our World Shaken, Not Stirred: Synthetic entertainment, hybrid social experiences, syncing ourselves with apps, and more.",Benedict Evans,Tech industry analyst and venture capitalist,🤖️ Understand tech trend,Day 8,6 min,Done
Entropy: Why Life Always Seems to Get More Complicated,James Clear,"Expert on habits author of ""Atomic Habits"" personal growth",🤹 Become a versatile generalist,Day 7,4 min,Done
The Mind is a Computer,Scott Young,Learning expert mastering efficient learning technique,🔧 Increase productivity,Day 3,7 min,Done
Distinguishing constructive criticism from bad business advice,Jason Cohen,Founder of WP Engine and a renowned entrepreneur in the tech space,🧠 Improve Self-awareness,Day 5,8 min,Done
